order,lemma,frequency,ipm
"868","ztotožňovat","331"
"869","vyučit","329"
"870","pozdravit","329"
"871","začervenat","329"
"872","oběsit","328"
"873","skrýt","328"
"874","vyvalit","327"
"875","ujišťovat","325"
"876","dostavovat","325"
"877","dýchat","324"
"878","svlékat","324"
"879","běžet","322"
"880","nadát","321"
"881","zaradovat","321"
"882","zabořit","320"
"883","zrychlit","320"
"884","převalit","319"
"885","pokazit","318"
"886","kymácet","317"
"887","vyhrabat","317"
"888","zpomalit","317"
"889","ohřát","316"
"890","optat","316"
"891","příčit","314"
"892","zkoušet","314"
"893","opravovat","313"
"894","vyklonit","313"
"895","otřít","313"
"896","prohlubovat","312"
"897","skvět","312"
"898","přiznávat","312"
"899","rozevřít","312"
"900","zavrtět","311"
"901","červenat","311"
"902","utvářet","310"
"903","připomínat","309"
"904","přehoupnout","309"
"905","nutit","308"
"906","kamarádit","307"
"907","vybírat","307"
"908","zastydět","307"
"909","mstít","306"
"910","rozpoutat","306"
"911","aktivovat","306"
"912","zabránit","305"
"913","nedostávat","305"
"914","srážet","305"
"915","spálit","305"
"916","udávat","305"
"917","zhostit","304"
"918","zmýlit","304"
"919","zkusit","303"
"920","vyžadovat","303"
"921","zpracovávat","303"
"922","obnovit","302"
"923","přilepit","302"
"924","vysílat","301"
"925","prohýbat","301"
"926","dožívat","301"
"927","klanět","300"
"928","rozlišovat","300"
"929","podvolit","299"
"930","rozkřiknout","299"
"931","vyčerpat","298"
"932","srovnávat","298"
"933","svírat","298"
"934","střílet","297"
"935","zúžit","296"
"936","přehrabovat","295"
"937","vyškrábat","295"
"938","oddat","294"
"939","opozdit","293"
"940","porozhlédnout","293"
"941","přetrhnout","292"
"942","stanovit","292"
"943","střetávat","291"
"944","vycházet","291"
"945","roztříštit","291"
"946","podepisovat","291"
"947","propojit","290"
"948","zaplnit","290"
"949","udusit","289"
"950","zavazovat","289"
"951","vymezovat","288"
"952","zkrátit","288"
"953","vozit","287"
"954","zaleknout","287"
"955","napnout","287"
"956","péci","286"
"957","vysvětlit","285"
"958","vypínat","285"
"959","míjet","284"
"960","nahrnout","284"
"961","sledovat","284"
"962","předávat","284"
"963","minout","284"
"964","kombinovat","284"
"965","patřit","283"
"966","sjíždět","282"
"967","navrátit","281"
"968","zadrhnout","280"
"969","přidržovat","280"
"970","vkládat","279"
"971","zotavovat","279"
"972","vypnout","279"
"973","roztrhnout","279"
"974","odlepit","277"
"975","zrcadlit","276"
"976","posunovat","276"
"977","prohloubit","276"
"978","upravovat","276"
"979","křížit","274"
"980","šourat","274"
"981","zřeknout","273"
"982","rozložit","273"
"983","poškrábat","272"
"984","upravit","271"
"985","utápět","271"
"986","vyjasnit","271"
"987","postupovat","270"
"988","přetahovat","270"
"989","zatáhnout","269"
"990","mýt","269"
"991","mrknout","269"
"992","rozzlobit","269"
"993","spouštět","268"
"994","zasadit","268"
"995","podřizovat","267"
"996","připlést","266"
"997","kolébat","265"
"998","hnusit","265"
"999","škrábat","264"
"1000","zříci","264"
"1001","stanout","264"
"1002","zahřívat","264"
"1003","zužovat","264"
"1004","vkrádat","264"
"1005","propracovat","263"
"1006","přelévat","263"
"1007","tahat","262"
"1008","vystěhovat","262"
"1009","dovolávat","261"
"1010","využít","261"
"1011","skácet","261"
"1012","fotit","260"
"1013","zdokonalovat","259"
"1014","provalit","259"
"1015","cvičit","259"
"1016","porvat","259"
"1017","vzbouřit","259"
"1018","smiřovat","258"
"1019","ušetřit","258"
"1020","zapisovat","258"
"1021","prohnat","258"
"1022","zařídit","258"
"1023","rozlehnout","258"
"1024","unavit","257"
"1025","líhnout","257"
"1026","zkracovat","256"
"1027","zapřít","256"
"1028","identifikovat","256"
"1029","natočit","255"
"1030","odmítat","255"
"1031","rozkašlat","254"
"1032","loudat","254"
"1033","pokračovat","253"
"1034","ohýbat","253"
"1035","zapotácet","253"
"1036","upnout","252"
"1037","roztáhnout","252"
"1038","vybrat","252"
"1039","začíst","251"
