"order","lemma","reflexive_frequency","reflexive_ipm"
566,"použít",604,5.9897716913235
567,"svléknout",604,5.9897716913235
568,"povídat",602,5.9699380102264
569,"potřebovat",599,5.94018748858076
570,"plnit",598,5.93027064803221
571,"líbat",597,5.92035380748366
572,"spekulovat",596,5.91043696693511
573,"přizpůsobovat",596,5.91043696693511
574,"klást",593,5.88068644528946
575,"vlnit",593,5.88068644528946
576,"slušet",590,5.85093592364382
577,"linout",589,5.84101908309527
578,"zakládat",587,5.82118540199817
579,"vymanit",587,5.82118540199817
580,"stihnout",586,5.81126856144962
581,"pokládat",584,5.79143488035253
582,"stačit",580,5.75176751815833
583,"diskutovat",578,5.73193383706123
584,"stočit",578,5.73193383706123
585,"opít",577,5.72201699651268
586,"potácet",572,5.67243279376994
587,"rozléhat",572,5.67243279376994
588,"rozprostírat",569,5.64268227212429
589,"vloupat",569,5.64268227212429
590,"pořádat",568,5.63276543157574
591,"zakousnout",567,5.6228485910272
592,"vzepřít",567,5.6228485910272
593,"zaplést",567,5.6228485910272
594,"roztřást",565,5.6030149099301
595,"přít",564,5.59309806938155
596,"připojovat",564,5.59309806938155
597,"zvětšit",562,5.57326438828445
598,"uzavírat",557,5.52368018554171
599,"zdráhat",556,5.51376334499316
600,"přistihnout",555,5.50384650444461
601,"posmívat",555,5.50384650444461
602,"oddělit",553,5.48401282334751
603,"pomstít",552,5.47409598279896
604,"zmocňovat",552,5.47409598279896
605,"posouvat",550,5.45426230170186
606,"sunout",547,5.42451178005622
607,"vystřídat",539,5.34517705566783
608,"zračit",536,5.31542653402218
609,"svalit",536,5.31542653402218
610,"vznést",533,5.28567601237653
611,"doplňovat",531,5.26584233127944
612,"radit",528,5.23609180963379
613,"usazovat",528,5.23609180963379
614,"předvést",526,5.21625812853669
615,"spřátelit",526,5.21625812853669
616,"tázat",525,5.20634128798814
617,"těžit",522,5.1765907663425
618,"nořit",521,5.16667392579395
619,"zklidnit",520,5.1567570852454
620,"hájit",518,5.1369234041483
621,"pojit",517,5.12700656359975
622,"vypařit",517,5.12700656359975
623,"rozletět",516,5.1170897230512
624,"chytnout",515,5.10717288250266
625,"donést",515,5.10717288250266
626,"dusit",514,5.09725604195411
627,"uvelebit",513,5.08733920140556
628,"hrabat",510,5.05758867975991
629,"vyklubat",510,5.05758867975991
630,"vyděsit",509,5.04767183921136
631,"plížit",509,5.04767183921136
632,"natáčet",506,5.01792131756572
